tract,population,white,black,people of color,people per household,median income per household,mean income per household,income per capita,geometry
North Pointe,5657,348,5282,5309,,,,8955,"POLYGON ((-90.24180699999654 38.71450054754757, -90.24942545690928 38.70676868207776, -90.25500550343595 38.71311536781043, -90.25533340983422 38.71348309634841, -90.25577801343604 38.71379293744889, -90.25478394904624 38.71504047977036, -90.25316324551228 38.71707541855882, -90.25225005374372 38.71822151171909, -90.25174873906532 38.71885087466065, -90.24635877670086 38.7209515452805, -90.24393715839375 38.72189540663934, -90.24057831503607 38.72320415560199, -90.23984259075367 38.72349083778971, -90.2400348924439 38.72290845337933, -90.23995466946354 38.72288630796952, -90.23987649423104 38.72285043768054, -90.23983337305253 38.72282356944392, -90.2397742438373 38.7227744788848, -90.23975737881248 38.72275659315266, -90.23970274486629 38.72267615465788, -90.23969491562221 38.72266034843972, -90.23967125051317 38.72258453702788, -90.23967311777074 38.72247563973736, -90.23968911082815 38.72241501894084, -90.23973701806449 38.722330250559, -90.23980122769009 38.72226380597382, -90.2398820465956 38.72220838181087, -90.23995636895154 38.72217559662207, -90.24001164059247 38.72215740454575, -90.2401337860434 38.72214029469558, -90.24021467956956 38.72214160027272, -90.24059078133752 38.720153486907, -90.24145163711761 38.71529310189987, -90.24155385172408 38.71488990322491, -90.24166589570775 38.71467665866697, -90.24180699999654 38.71450054754757))"
North Riverfront,812,161,640,651,,,,6121,"POLYGON ((-90.2201784830236 38.72846016280346, -90.21917319793803 38.72773421500599, -90.218871185369 38.72757900638219, -90.21868153352017 38.72751907459084, -90.21834175694984 38.72745647438794, -90.21802339496342 38.72743945141862, -90.21763453131378 38.72745133612346, -90.21747062751523 38.72745824417625, -90.2170549668587 38.72745633282985, -90.21674722947668 38.72742079745738, -90.21637678974388 38.72735649718759, -90.21583348954633 38.72726846326461, -90.21537689028743 38.72720395037946, -90.2151375141966 38.72716723169645, -90.21461566733782 38.72705337826319, -90.21424709436137 38.72696139740552, -90.21465113745273 38.72562670917412, -90.21590676761899 38.72227178238658, -90.21694211500566 38.71300297607992, -90.21553422602447 38.70752646994739, -90.21337538536361 38.70273874858707, -90.21290115919466 38.70215312377781, -90.20640024356344 38.69405982146082, -90.20701474873786 38.69358313877852, -90.19867469085928 38.68628218213021, -90.19865085083705 38.68625284950487, -90.19896630829645 38.68608226340098, -90.21038788432365 38.68002741388222, -90.21115057817913 38.67961626251775, -90.21124874332585 38.67967485518189, -90.21291766899266 38.680691320096, -90.2148345272015 38.68184837900569, -90.21603907532349 38.68257831266804, -90.21674474536596 38.68299923947092, -90.21700461534527 38.68315001403188, -90.21744742554097 38.68338080612089, -90.21753659418414 38.68342245704494, -90.21770741534951 38.68349288976599, -90.21808135388291 38.68364388228333, -90.21842102496764 38.68376096169973, -90.21881263113933 38.68387401870784, -90.2191719964421 38.68395432086199, -90.21968603861569 38.68404180256082, -90.22025216798451 38.68410425422142, -90.22056680556609 38.68411988914418, -90.22098979360192 38.68412798342197, -90.22109785020338 38.68412390264769, -90.22547038908132 38.68180254490472, -90.22555355733309 38.68188421078896, -90.22582086110732 38.68206447415896, -90.22603285288733 38.68220751032482, -90.22628517346732 38.68233968437617, -90.22653048226852 38.68246431773576, -90.22779334786088 38.68309264123994, -90.22656644744552 38.68313964466208, -90.22602091691384 38.6831971850075, -90.22580474939487 38.68322962913442, -90.22569813165271 38.68324264179039, -90.22544549173573 38.68350521544434, -90.2250226987758 38.68389551199821, -90.22462772887599 38.6841913588551, -90.22417606317261 38.68443489868736, -90.22233443174417 38.68542065491647, -90.22052904785498 38.68632455857123, -90.22140986883305 38.68700149054609, -90.22193107761696 38.68750660212364, -90.22261467923349 38.68837458175643, -90.2232111824613 38.68934710691732, -90.22364845025973 38.6903506657104, -90.22495272997237 38.69346027549204, -90.22552300916658 38.69482291719721, -90.22606458855444 38.69589807651746, -90.22669413537298 38.6970459576659, -90.22689511734102 38.69740572658076, -90.22733452631552 38.6981854306386, -90.22838272359553 38.70028185560763, -90.22665691884825 38.70120825020179, -90.2260488157479 38.7014749903415, -90.2225002103503 38.70344890475018, -90.22491061523966 38.70617467248873, -90.22616313473583 38.70762702663433, -90.22672572441085 38.70828301605712, -90.22701062272091 38.70861823981355, -90.22725201272866 38.70895882568722, -90.22766226314846 38.70967511156378, -90.2277979602577 38.71000721239856, -90.22792288997911 38.71040658955534, -90.22799357115562 38.7109444799042, -90.22798994677382 38.71143851036553, -90.22791103441439 38.71199027623595, -90.22782692294341 38.7124525142002, -90.22715259120183 38.71642656400608, -90.22595926347704 38.72342899894587, -90.22579640496966 38.72430229956817, -90.22567834053301 38.72477203395462, -90.22548050500551 38.72525734222372, -90.22542197291344 38.72535652304297, -90.22518077734468 38.72572184405706, -90.22494360546686 38.72601531449715, -90.22464093495104 38.72633153078021, -90.22438794271446 38.72656296097211, -90.22417813264678 38.72673111772958, -90.22399244685477 38.72686064170338, -90.22320291194617 38.72737568575626, -90.22298985564149 38.72755709523182, -90.22290060919705 38.72766581252056, -90.22274878300908 38.72794896394581, -90.22222645404605 38.72832618774334, -90.22156718955016 38.72876854473423, -90.2209662783265 38.72914900799838, -90.2201784830236 38.72846016280346))"
O'Fallon,8901,131,8749,8770,,,,8471,"POLYGON ((-90.21237225216686 38.67896322406608, -90.21259072892786 38.67872830062937, -90.21810630560027 38.67337168370493, -90.21817510128608 38.67331761800157, -90.21855446458726 38.67297345443573, -90.22079543423021 38.67009747100028, -90.22071266668186 38.67006179637306, -90.22203193096861 38.6682004452371, -90.22627692256151 38.67005668998517, -90.22886988245871 38.66645368162074, -90.23645127015878 38.66977627852186, -90.23633018075466 38.66984465313811, -90.2329481902195 38.67452425826985, -90.23074803449146 38.67765983438616, -90.23059320081506 38.6778475717662, -90.23015613065445 38.6780916354583, -90.22479647288839 38.68092820588149, -90.22425271399362 38.67990729186545, -90.22391801249447 38.67926484139254, -90.22373592737182 38.67901818695992, -90.22152938714427 38.67652926345148, -90.21789776523289 38.67843741573212, -90.21645739747389 38.67682365685825, -90.21237225216686 38.67896322406608))"
Old North St. Louis,2221,1039,1060,1182,,,,4835,"POLYGON ((-90.19468654812191 38.65441881408377, -90.19407863904627 38.65319873007018, -90.19376289407046 38.65257982784027, -90.19267127329391 38.65038957550622, -90.19161118325917 38.64827608861357, -90.19100215260994 38.64707218539375, -90.1902712909324 38.64563298881157, -90.18973088831846 38.64455263391449, -90.18913651630778 38.64340645076918, -90.18869490593036 38.64257142575519, -90.1884493096089 38.6420906768798, -90.18798145207694 38.64118396573498, -90.1875470563651 38.64036265745411, -90.18724928682776 38.63987081036046, -90.18713687008253 38.63968469390766, -90.18730214696232 38.63971924000645, -90.19408275295933 38.64113903731676, -90.19392023663717 38.64162279888429, -90.19384392496728 38.64186629887016, -90.19388616455207 38.64215083092061, -90.19399261642793 38.6423696565037, -90.19424061005316 38.64264948171611, -90.19462859522731 38.64280335997188, -90.19518414726505 38.64293364693022, -90.19570331359397 38.64304964025403, -90.19592631241046 38.64316486186491, -90.19618218728384 38.64330534843686, -90.19639156448434 38.64347111346375, -90.19669597035441 38.64379408078934, -90.19677978970134 38.64398560567697, -90.19684665600035 38.6443200935981, -90.19695953229714 38.64453777978355, -90.19721225449962 38.64507962563782, -90.19840318661923 38.64747373037797, -90.2005605752522 38.6517000081535, -90.2011982042862 38.65281949736727, -90.20167770105265 38.65364611325911, -90.2024205056734 38.65488868803832, -90.2031655215068 38.65607683963845, -90.2033192861456 38.65623056107973, -90.20293397895018 38.65617785036597, -90.19936494282264 38.65541561285389, -90.19617438737156 38.65472866412991, -90.19547288791949 38.65458267999734, -90.19468654812191 38.65441881408377))"
Patch,3464,3321,91,143,,,,9830,"POLYGON ((-90.25891483899473 38.55247911976022, -90.25928017999851 38.55215766092946, -90.25545973169321 38.5496161031073, -90.25464487725783 38.55033955081947, -90.25367198097793 38.54971162169812, -90.25188867913019 38.54852135496022, -90.25112775186625 38.54803873035603, -90.25182508688708 38.54718509155595, -90.25299300785545 38.54325507201228, -90.25701947388387 38.53747152102962, -90.26021649962111 38.53298156660869, -90.26141122913118 38.53342728843252, -90.26259871746544 38.53420865022184, -90.26307504951431 38.53404760304383, -90.26308521076942 38.53405127573858, -90.26346234361419 38.53391657971103, -90.26370967787241 38.53383286032406, -90.2643515257914 38.53372936776493, -90.26532717308709 38.5337313272245, -90.266916200784 38.53423838593131, -90.26808752829648 38.53573135916432, -90.26847130417322 38.53698156016622, -90.2691106229225 38.53767593150938, -90.27082934403182 38.53847681851823, -90.27100287883522 38.5386032527141, -90.27101651203505 38.53862593357999, -90.2713648328094 38.53921312468747, -90.27136208208893 38.54007101323612, -90.27050523414096 38.54162767083303, -90.27050665672687 38.54163110607462, -90.27049494633548 38.54165236433025, -90.27110166174181 38.54300000715987, -90.27111813322519 38.54304306858413, -90.27164869018226 38.54451022836935, -90.27154442564719 38.544775257357, -90.27155277132458 38.54481187730286, -90.27082292646246 38.54534706663809, -90.27031204514726 38.54574398266523, -90.26791845611585 38.54751521210062, -90.26780055670245 38.54756739870042, -90.26710107986318 38.54824264120883, -90.26299413099002 38.55181375590429, -90.26099591681715 38.55358223628708, -90.25891483899473 38.55247911976022))"
Peabody Darst Webbe,1698,185,1501,1513,,,,10031,"POLYGON ((-90.20168345184776 38.61875958330188, -90.20223608528811 38.61724296213006, -90.20251186629092 38.61670543506096, -90.20771581744859 38.61111639464994, -90.20836991443805 38.61041597542786, -90.20844079055499 38.61041409259481, -90.20879874376499 38.61038661847483, -90.20923269928564 38.61031836289752, -90.21152423506325 38.61116134999596, -90.21067576887641 38.61356515362284, -90.21008015190569 38.61647326171642, -90.21011888425438 38.61648502785416, -90.20878874857907 38.6201912481098, -90.20168345184776 38.61875958330188))"
Penrose,8451,72,8368,8379,,,,10027,"POLYGON ((-90.22779334786088 38.68309264123994, -90.22653048226852 38.68246431773576, -90.22628517346732 38.68233968437617, -90.22603285288733 38.68220751032482, -90.22582086110732 38.68206447415896, -90.22555355733309 38.68188421078896, -90.22547038908132 38.68180254490472, -90.22543287477802 38.68176470079027, -90.22517433585448 38.68150987862353, -90.225073243892 38.68137943070176, -90.22491855228887 38.68113973477391, -90.22479647288839 38.68092820588149, -90.23015613065445 38.6780916354583, -90.23059320081506 38.6778475717662, -90.23074803449146 38.67765983438616, -90.2329481902195 38.67452425826985, -90.23633018075466 38.66984465313811, -90.23645127015878 38.66977627852186, -90.23937683772867 38.67105789281206, -90.24250611353041 38.6723709934606, -90.2442552528201 38.67307047734219, -90.25182030912909 38.67636732725285, -90.24803712086347 38.68178147881049, -90.24658086443311 38.68115430017401, -90.24632740466122 38.68150409955194, -90.2463504204521 38.68151397977703, -90.24581498172718 38.68226197998614, -90.24447616719087 38.68169203518244, -90.24307831213069 38.68366922991684, -90.24295169477658 38.68388746998243, -90.24288181461779 38.68400220459691, -90.24284902397228 38.68410990885742, -90.24242778589948 38.68459019986154, -90.24205366294868 38.68438708528578, -90.24145543581432 38.68406770739924, -90.24074767737586 38.68369701005652, -90.24031109546452 38.68348576086366, -90.24002132678189 38.68336429772881, -90.23958573949608 38.68320840526822, -90.2393034374048 38.68312490524124, -90.23898701562992 38.68304113617781, -90.23856812473743 38.68294799342016, -90.23821391787483 38.68288953732213, -90.23774704022139 38.6828333537804, -90.23725758929595 38.68279999096856, -90.2366836408527 38.6828050706354, -90.23609297588317 38.68282136793379, -90.23312070425683 38.68291915942894, -90.22861910495457 38.68306117017953, -90.22779334786088 38.68309264123994))"
Princeton Heights,8029,7976,19,53,,,,16069,"POLYGON ((-90.27710040318523 38.57590188219494, -90.27714743024806 38.57587475940633, -90.27966397127192 38.57435003096234, -90.28213201986907 38.57282880976527, -90.28379683351974 38.57134403167209, -90.28586806355024 38.56940620536832, -90.28654059983778 38.56887427999003, -90.28915569233808 38.56729735177762, -90.29417076606921 38.56431181653029, -90.29424544548975 38.56439454607594, -90.29432006958929 38.56449674428093, -90.29442705719333 38.56469302069581, -90.29464691569632 38.56515728035473, -90.294792923752 38.56546898231841, -90.29499663819847 38.5658805456, -90.29511222337368 38.56612969597943, -90.29526959130868 38.5664453164348, -90.29548461077621 38.56688070597652, -90.29556285511414 38.56703988817171, -90.29585789655096 38.56763833400981, -90.29605002267745 38.56803339940098, -90.29615977838085 38.56828094585304, -90.29623737234859 38.56857239888794, -90.29628112535315 38.5688706303857, -90.2962656199947 38.56939464062735, -90.29623505279378 38.56969093039834, -90.29617442065769 38.56999403267504, -90.29598944761992 38.57108728503377, -90.29579570749191 38.57187756101011, -90.29523128599932 38.57273287179182, -90.29499741954929 38.57317593318164, -90.29487799986398 38.573545740554, -90.29477472051148 38.57409428239649, -90.29332343925238 38.58207587000828, -90.2920319010138 38.58230561461988, -90.29181790199921 38.58230798013294, -90.27886095504088 38.5809660542261, -90.27705899401525 38.58428503537544, -90.27708328821063 38.58434801865602, -90.27705033725819 38.5844371990333, -90.27696156028985 38.58458003858831, -90.27690476265001 38.58466505456216, -90.27685107195539 38.58477478991362, -90.27677917243832 38.58492383986821, -90.27661765139273 38.58520545761597, -90.27658616721948 38.58502416532574, -90.27660801981365 38.58474596068414, -90.27659768756524 38.58459170136816, -90.27658842762163 38.58391068988302, -90.27663128209855 38.58382062236734, -90.27663755956934 38.58329613175359, -90.27659974665531 38.58270749408516, -90.2765900015816 38.58255576210387, -90.27652583495707 38.58219685460973, -90.27640498913306 38.5818741950949, -90.27623716144942 38.58147293909023, -90.27601782678482 38.58094117937237, -90.27592886345916 38.58068311000214, -90.27583384456175 38.58030261474703, -90.27577025482449 38.57974874572947, -90.27576614711015 38.5788196473418, -90.27575557721146 38.57669492407123, -90.27710040318523 38.57590188219494))"
Riverview,329,185,143,144,,,,9240,"POLYGON ((-90.17504525112645 38.77335676788397, -90.18106127612701 38.76020233810593, -90.18185367326281 38.75675957388948, -90.18263435271074 38.75429841473434, -90.18320539031667 38.75276546813996, -90.18444326843561 38.75123456751593, -90.18583438875537 38.74986538456368, -90.18834951095687 38.74809966390792, -90.19138985682572 38.74640762967489, -90.19864358168313 38.74218260245131, -90.20615495978026 38.73725987909314, -90.20793081088399 38.73593601566355, -90.21073322554658 38.73339253791766, -90.21215541043642 38.73193271914015, -90.21360808336838 38.7296267621455, -90.21393180298438 38.72800359113232, -90.21424709436137 38.72696139740552, -90.21461566733782 38.72705337826319, -90.2151375141966 38.72716723169645, -90.21537689028743 38.72720395037946, -90.21583348954633 38.72726846326461, -90.21637678974388 38.72735649718759, -90.21674722947668 38.72742079745738, -90.2170549668587 38.72745633282985, -90.21747062751523 38.72745824417625, -90.21763453131378 38.72745133612346, -90.21802339496342 38.72743945141862, -90.21834175694984 38.72745647438794, -90.21868153352017 38.72751907459084, -90.218871185369 38.72757900638219, -90.21917319793803 38.72773421500599, -90.2201784830236 38.72846016280346, -90.2209662783265 38.72914900799838, -90.22182714154634 38.72990158863277, -90.22188303913141 38.72995070797173, -90.22192524827159 38.72999518166185, -90.22194990907808 38.73003598905197, -90.22195655093384 38.73005887795967, -90.22184563989273 38.73010323454958, -90.2214716314368 38.73050186843219, -90.2198081856579 38.73223421768937, -90.21833590469934 38.73339284199683, -90.21796538939718 38.73356243980204, -90.21262725835561 38.73621268578481, -90.20921261385826 38.73878579705642, -90.20788913539721 38.7397726021326, -90.20271194812723 38.74441678527094, -90.20208723408999 38.74497672402237, -90.19730699602627 38.74926399766162, -90.19540874843345 38.75161523499606, -90.19422439750809 38.75271073395072, -90.19197211823867 38.75477863051926, -90.18925091705397 38.75767149294945, -90.1888287513366 38.7581099540646, -90.18868403731481 38.75825990437716, -90.18861439136651 38.75834849240649, -90.18841505053652 38.75856029828004, -90.18712271558833 38.76024052269624, -90.18623370284088 38.76136805907489, -90.18503622293856 38.76484682863638, -90.18489610328942 38.76554208541778, -90.18383578530461 38.77055841947094, -90.1840656193086 38.772986399907, -90.184179514581 38.77433791266793, -90.17504525112645 38.77335676788397))"
Shaw,7579,4484,2899,3095,,,,10639,"POLYGON ((-90.25599994156271 38.61818367763004, -90.24503749097272 38.61717119484768, -90.23938186265811 38.61664840474322, -90.23937339524984 38.61664769940251, -90.23940675667178 38.61637502087986, -90.24002183245013 38.61341029390914, -90.24081478747536 38.60986977797338, -90.24142948526233 38.60721236386316, -90.2579231551104 38.60877935319198, -90.25637226997004 38.61667534724977, -90.25615542593691 38.61774602654419, -90.25612928615345 38.61779608522047, -90.25606495360499 38.61818930502979, -90.25599994156271 38.61818367763004))"
Skinker DeBaliviere,5601,2313,3142,3288,,,,20981,"POLYGON ((-90.28434255522491 38.65394853675325, -90.2843635759136 38.65384011204385, -90.28467941312489 38.65197665969369, -90.28473367513214 38.65158362742417, -90.2847809019546 38.6513063772534, -90.28501494331988 38.6498569386228, -90.28540873749361 38.64755471945153, -90.28610533887864 38.64764386440316, -90.28634690175203 38.64617172720106, -90.3006154401692 38.64757533707193, -90.30061006368575 38.64762016868347, -90.30061083822244 38.64765655336335, -90.30062153345015 38.64770143982518, -90.30063861348823 38.64774197116342, -90.30066099159085 38.64777861232897, -90.30069618135246 38.6478166482743, -90.30073286451646 38.64784647647024, -90.30076841571595 38.647867817853, -90.30080922426504 38.64788732841437, -90.30085963452153 38.64790410939262, -90.30092469114133 38.64791726320842, -90.30096582728277 38.64791963977029, -90.30104431028481 38.64791450111656, -90.30108842192071 38.64790449862425, -90.3011295991998 38.64789199234546, -90.30119622106827 38.64785824846257, -90.30124797611995 38.64781920712996, -90.30128365869405 38.64778035814712, -90.30132121100449 38.64771108760217, -90.30133216298826 38.64765047642148, -90.30311128535146 38.64783770759669, -90.30180699830606 38.65564562049342, -90.2945842681344 38.65495535986005, -90.28434255522491 38.65394853675325))"
Soulard,3771,3212,504,559,,,,15897,"POLYGON ((-90.21426351071612 38.59175117569058, -90.21435379539527 38.59170290284421, -90.21446392503366 38.59194434716252, -90.21454846296128 38.59210153855163, -90.21467529451377 38.59232242887097, -90.21483719443651 38.59259398463622, -90.21501709293233 38.59288870477411, -90.21517615095792 38.59314517794081, -90.21528133100114 38.59331224945596, -90.21544331128901 38.59356458299018, -90.21550937275943 38.59367021497371, -90.21559079170366 38.59380315137837, -90.2157157518823 38.59405652038134, -90.21579665916174 38.59423956870982, -90.21587465477873 38.5944246419006, -90.21594074483141 38.59460328810948, -90.2160196072126 38.59486162484099, -90.2160971055912 38.59517325679416, -90.21614140851592 38.59540264980632, -90.21617327196857 38.59567226802631, -90.21618531380814 38.59587527670742, -90.21618766831278 38.59622813498345, -90.21617974086344 38.59639309148799, -90.21616257250732 38.59660336094806, -90.21615512529745 38.5966463442141, -90.21613312468364 38.59675088348105, -90.21596321845801 38.59746856040546, -90.21583098466949 38.59802884919154, -90.21571579747763 38.59854274545187, -90.21564908391898 38.59882291568632, -90.21464944729648 38.60272247950745, -90.21460855861149 38.60288576270109, -90.21397359721288 38.60533932147368, -90.2137585279545 38.60596327495103, -90.21343948188147 38.60669359782687, -90.21261212143486 38.60830139712021, -90.21251799196105 38.60843066389688, -90.21246435436953 38.60849805449305, -90.21152423506325 38.61116134999596, -90.20923269928564 38.61031836289752, -90.20879874376499 38.61038661847483, -90.20844079055499 38.61041409259481, -90.20837019529881 38.61041575645364, -90.20801052830957 38.61042562359266, -90.20782187553866 38.61042193997562, -90.20693095816466 38.61040573534378, -90.20645430329088 38.61043977086148, -90.20621731721073 38.61047967856151, -90.20569166217642 38.61058316973369, -90.20525423404759 38.61071203348835, -90.20491720371906 38.61083406432402, -90.20473545167826 38.61090546676965, -90.20393026079043 38.61125809621349, -90.20322138938675 38.61158169283124, -90.20235565368588 38.61196436299728, -90.20181603104957 38.6121915875267, -90.20123374008749 38.61243632946606, -90.20066317725403 38.61267077381282, -90.20011015891349 38.61289339792826, -90.19952890871957 38.61310402961103, -90.19906890837709 38.61325134718368, -90.19815503043326 38.61356180920729, -90.19744327291315 38.61380271083566, -90.19713453536825 38.6139065044406, -90.19752169893708 38.61290387021003, -90.1975684050943 38.61282435909351, -90.19824462967588 38.61208217865815, -90.1989934358746 38.61115301858786, -90.20210047530256 38.60774388268941, -90.20272806392254 38.60689218140799, -90.20288504503404 38.60665621054584, -90.20399793419547 38.60509382377712, -90.20427651971131 38.60471946158206, -90.20464103621745 38.60421971677537, -90.2071367915356 38.60068969702638, -90.20755016299852 38.60007495553563, -90.20768721551734 38.59986180172466, -90.20779307366075 38.59964398415335, -90.20787855022964 38.59941282529137, -90.20798919337224 38.59903278977667, -90.2080567670459 38.59876363729703, -90.20822560186835 38.59839997512691, -90.20840328352716 38.5980892214011, -90.20895502986561 38.59734987936555, -90.21081410570643 38.59512638216724, -90.21242404785062 38.59305373579816, -90.21250548370705 38.59296150767931, -90.21385170826177 38.59200600845607, -90.21426351071612 38.59175117569058))"
Southampton,8854,8686,60,168,,,,17336,"POLYGON ((-90.27333032532964 38.59145925072573, -90.27616222021058 38.58736979009285, -90.27623838303951 38.58725735213287, -90.27626513346623 38.58718279604467, -90.27661765139273 38.58520545761597, -90.27677917243832 38.58492383986821, -90.27685107195539 38.58477478991362, -90.27690476265001 38.58466505456216, -90.27696156028985 38.58458003858831, -90.27705033725819 38.5844371990333, -90.27708328821063 38.58434801865602, -90.27705899401525 38.58428503537544, -90.27886095504088 38.5809660542261, -90.29181790199921 38.58230798013294, -90.2920319010138 38.58230561461988, -90.29332343925238 38.58207587000828, -90.29246209006428 38.58719171318558, -90.29266680736812 38.58747787365358, -90.2927905863866 38.58762409458759, -90.2928935197972 38.5877196982546, -90.2930954654958 38.58785117414855, -90.29362111023532 38.5881630801012, -90.29376536582157 38.58828253570537, -90.29391483004609 38.58842814166466, -90.29408394413178 38.58862730040173, -90.29422265763279 38.5888504049701, -90.29431796433019 38.58906980845011, -90.29436354642617 38.58921885585603, -90.29441325032194 38.58948071374007, -90.29443920284089 38.58979014449381, -90.29453777389458 38.59069397919927, -90.2945486676022 38.5915857424255, -90.29449069281996 38.59238355584781, -90.29438076385077 38.59298335055645, -90.2942635170451 38.59341269179153, -90.2792977840551 38.59184641030114, -90.27655070226733 38.59154600928367, -90.27551184630704 38.5914568102396, -90.27511969306269 38.59146064311572, -90.27477758315759 38.59149452918807, -90.27449723706069 38.5915361120726, -90.27434261445993 38.59156233982289, -90.27418225401435 38.59156614943368, -90.27397968263878 38.59154151176288, -90.27388409784714 38.59152987656542, -90.27333032532964 38.59145925072573))"
Southwest Garden,5203,4268,830,935,,,,15769,"POLYGON ((-90.26021409910959 38.61851528273248, -90.26003769352141 38.61850531036234, -90.25974517764375 38.61848870137398, -90.25886216187868 38.61843106032382, -90.25606466737095 38.61819114420346, -90.25606495360499 38.61818930502979, -90.25612928615345 38.61779608522047, -90.25615542593691 38.61774602654419, -90.25637226997004 38.61667534724977, -90.25947434069029 38.61696940058249, -90.25962779647543 38.61634592371857, -90.25998738300976 38.61574736323686, -90.26169297544827 38.61338797823817, -90.26212070763685 38.61281011662575, -90.26248179942705 38.61210424022375, -90.26259405971915 38.61166190662151, -90.26295896447461 38.60926220938166, -90.26826309688153 38.6097646570008, -90.26913048501405 38.60558195636566, -90.26922106103548 38.60506521321564, -90.26970775339039 38.6023520365443, -90.27630676653521 38.60303489920226, -90.28156146683037 38.6036551641944, -90.28168076576911 38.60364165714504, -90.28502986295646 38.60398011516725, -90.28834627560661 38.60431751208876, -90.28835279970596 38.60427658201449, -90.29096056425294 38.60454627932292, -90.29080919225147 38.60473501145524, -90.29053682955811 38.60503726345626, -90.29024340347512 38.60536166419504, -90.28913925590142 38.60667868884546, -90.2889400131274 38.60699479840755, -90.28874832649974 38.60741869909968, -90.28853351974645 38.60817160271219, -90.28840055219888 38.60885715883906, -90.28808190034052 38.61059843626538, -90.28797053817722 38.6111698549412, -90.28759530998393 38.6122222387416, -90.27552150215965 38.61103740300769, -90.27524426720559 38.61099980080191, -90.2737347593544 38.61118202240289, -90.27343477538389 38.61123383432163, -90.27303932033269 38.6113183840413, -90.2726981411255 38.611404218612, -90.27202697985797 38.61159787401518, -90.27122465461629 38.61178830359802, -90.26767633690646 38.61264306770479, -90.26651228190015 38.6184161781028, -90.26561523813631 38.61845167437576, -90.26497346209177 38.61847394713811, -90.2642996229462 38.61849683828057, -90.2634487604594 38.61851640220709, -90.26291991068719 38.61853411402923, -90.26159303162711 38.61854468092635, -90.26082276047401 38.61853690320971, -90.26021409910959 38.61851528273248))"
