boundaries,geometry
57,"POLYGON ((-90.31565033430483 38.58747454935324, -90.31565033430483 38.58867988655594, -90.31443861699341 38.58867988655594, -90.31443861699341 38.58747454935324, -90.31565033430483 38.58747454935324))"
58,"POLYGON ((-90.31565033430483 38.58867988655594, -90.31565033430483 38.58988522375865, -90.31443861699341 38.58988522375865, -90.31443861699341 38.58867988655594, -90.31565033430483 38.58867988655594))"
59,"POLYGON ((-90.31565033430483 38.58988522375865, -90.31565033430483 38.59109056096136, -90.31443861699341 38.59109056096136, -90.31443861699341 38.58988522375865, -90.31565033430483 38.58988522375865))"
60,"POLYGON ((-90.31565033430483 38.59109056096136, -90.31565033430483 38.59229589816406, -90.31443861699341 38.59229589816406, -90.31443861699341 38.59109056096136, -90.31565033430483 38.59109056096136))"
61,"POLYGON ((-90.31565033430483 38.59229589816406, -90.31565033430483 38.59350123536677, -90.31443861699341 38.59350123536677, -90.31443861699341 38.59229589816406, -90.31565033430483 38.59229589816406))"
62,"POLYGON ((-90.31565033430483 38.59350123536677, -90.31565033430483 38.59470657256947, -90.31443861699341 38.59470657256947, -90.31443861699341 38.59350123536677, -90.31565033430483 38.59350123536677))"
63,"POLYGON ((-90.31565033430483 38.59470657256947, -90.31565033430483 38.59591190977218, -90.31443861699341 38.59591190977218, -90.31443861699341 38.59470657256947, -90.31565033430483 38.59470657256947))"
64,"POLYGON ((-90.31565033430483 38.59591190977218, -90.31565033430483 38.59711724697488, -90.31443861699341 38.59711724697488, -90.31443861699341 38.59591190977218, -90.31565033430483 38.59591190977218))"
65,"POLYGON ((-90.31565033430483 38.59711724697488, -90.31565033430483 38.59832258417759, -90.31443861699341 38.59832258417759, -90.31443861699341 38.59711724697488, -90.31565033430483 38.59711724697488))"
66,"POLYGON ((-90.31565033430483 38.59832258417759, -90.31565033430483 38.5995279213803, -90.31443861699341 38.5995279213803, -90.31443861699341 38.59832258417759, -90.31565033430483 38.59832258417759))"
67,"POLYGON ((-90.31565033430483 38.5995279213803, -90.31565033430483 38.60073325858301, -90.31443861699341 38.60073325858301, -90.31443861699341 38.5995279213803, -90.31565033430483 38.5995279213803))"
68,"POLYGON ((-90.31565033430483 38.60073325858301, -90.31565033430483 38.60193859578571, -90.31443861699341 38.60193859578571, -90.31443861699341 38.60073325858301, -90.31565033430483 38.60073325858301))"
69,"POLYGON ((-90.31565033430483 38.60193859578571, -90.31565033430483 38.60314393298842, -90.31443861699341 38.60314393298842, -90.31443861699341 38.60193859578571, -90.31565033430483 38.60193859578571))"
70,"POLYGON ((-90.31565033430483 38.60314393298842, -90.31565033430483 38.60434927019112, -90.31443861699341 38.60434927019112, -90.31443861699341 38.60314393298842, -90.31565033430483 38.60314393298842))"
71,"POLYGON ((-90.31565033430483 38.60434927019112, -90.31565033430483 38.60555460739383, -90.31443861699341 38.60555460739383, -90.31443861699341 38.60434927019112, -90.31565033430483 38.60434927019112))"
72,"POLYGON ((-90.31558401352437 38.60675994459653, -90.31443861699341 38.60675994459653, -90.31443861699341 38.60555460739383, -90.31565033430483 38.60555460739383, -90.31565033430483 38.60659700934158, -90.31558401352437 38.60675994459653))"
