"GEO_ID","NAME","P001001","P001002","P001003","P001004","P001005","P001006","P001007","P001008","P001009","P001010","P001011","P001012","P001013","P001014","P001015","P001016","P001017","P001018","P001019","P001020","P001021","P001022","P001023","P001024","P001025","P001026","P001027","P001028","P001029","P001030","P001031","P001032","P001033","P001034","P001035","P001036","P001037","P001038","P001039","P001040","P001041","P001042","P001043","P001044","P001045","P001046","P001047","P001048","P001049","P001050","P001051","P001052","P001053","P001054","P001055","P001056","P001057","P001058","P001059","P001060","P001061","P001062","P001063","P001064","P001065","P001066","P001067","P001068","P001069","P001070","P001071"
"1400000US29510112200","Census Tract 1122, St. Louis city, Missouri","1586","1560","54","1501","2","2","0","1","26","25","5","3","0","0","0","7","5","0","5","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US29510112300","Census Tract 1123, St. Louis city, Missouri","2415","2380","26","2334","8","2","0","10","35","34","14","0","1","1","0","8","0","0","2","0","0","0","7","0","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US29510112400","Census Tract 1124, St. Louis city, Missouri","4023","3919","2741","645","5","516","0","12","104","94","12","11","51","3","3","3","2","0","0","0","0","0","6","3","0","10","6","0","0","0","3","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US29510113500","Census Tract 1135, St. Louis city, Missouri","2331","2298","2200","65","5","20","1","7","33","31","17","6","4","0","2","2","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US29510114101","Census Tract 1141.01, St. Louis city, Missouri","4281","4154","3060","832","15","157","2","88","127","112","32","17","34","5","9","12","0","0","2","0","0","0","0","1","0","10","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","5","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US29510114102","Census Tract 1141.02, St. Louis city, Missouri","4128","4076","3871","129","5","63","1","7","52","49","12","14","18","0","3","0","0","0","0","2","0","0","0","0","0","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US29510114200","Census Tract 1142, St. Louis city, Missouri","4721","4612","3949","433","9","168","0","53","109","100","19","19","37","0","15","1","2","1","2","2","0","0","0","2","0","7","6","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0"
"1400000US29510114300","Census Tract 1143, St. Louis city, Missouri","5485","5398","4914","312","14","104","1","53","87","83","38","12","24","1","2","3","0","0","1","0","0","0","1","1","0","3","2","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US29510115100","Census Tract 1151, St. Louis city, Missouri","4287","4092","3221","589","18","126","2","136","195","172","45","33","52","12","16","1","1","4","6","0","0","0","0","2","0","22","6","0","0","11","1","1","1","2","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US29510115200","Census Tract 1152, St. Louis city, Missouri","3149","3006","1635","981","8","250","2","130","143","134","44","8","29","1","22","8","6","0","0","11","0","0","0","5","0","8","3","0","0","4","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
